,name,spec,price
229,Holiday gite in Brittany - BN006614,"Bedrooms 2, Sleeps 4, Ratings 16 9.5/10",£445 to £715 pw
230,"Holiday complex, pool and bar near Lamballe - BN002848_E","Bedrooms 2, Sleeps 4",€1000 to €1800 pw
231,"Large barn to let with private pool, Dordogne - AD005635_B","Bedrooms 10, Sleeps 20",£499 to £950 pw
232,Large holiday gite to let in Limousin - UH007236,"Bedrooms 2, Sleeps 6, Ratings 1 10/10",£600 pw
233,Family gite accommodation nr St Jean-d'Angély - PM002197_B,"Bedrooms 3, Sleeps 6",£475 to £995 pw
234,Honeysuckle holiday gite in Cotes d'Armor - BN003895_B,"Bedrooms 1, Sleeps 2, Ratings 5 9.6/10",£345 to £395 pw
235,Holiday lets plus heated pool near Saumur - LL001291_B,"Bedrooms 4, Sleeps 10, Ratings 8 9.8/10",€630 to €1040 pw
236,Rural holiday Cottage on riverbank in Coivert - PM007545,"Bedrooms 2, Sleeps 4",£435 to £530 pw
237,Lovely house with shared pool in Charente - PC006781,"Bedrooms 2, Sleeps 5",£834 to £956 pw
238,Holiday cottage rental Brittany coast 10 mins - BM000892_A,"Bedrooms 7, Sleeps 12, Ratings 2 10/10",£350 to £575 pw
239,Modern stone holiday cottage to let Charente - PC007207,"Bedrooms 2, Sleeps 4, Ratings 1 9.5/10",£1600 to £1800 pw
240,Self catering cottage rental nr Saumur - LL004095,"Bedrooms 2, Sleeps 4, Ratings 3 9.6/10",£395 to £520 pw
241,"Lovely gite with heated pool, Secondigny - PS005517","Bedrooms 3, Sleeps 4",£800 pw
242,Spacious holiday home to let in Charente - PC006408,"Bedrooms 2, Sleeps 4, Ratings 1 10/10",£900 pw
243,"Stone cottage by the sea in Normandy, Manche - NM003542","Bedrooms 2, Sleeps 4, Ratings 5 9.4/10",£540 to £585 pw
244,Holiday gite near Allonnes - LL004475,"Bedrooms 1, Sleeps 3",£350 pw
245,Beautiful gite to let in Charente Maritime - PM006858,"Bedrooms 1, Sleeps 2, Ratings 3 10/10",£455 to £490 pw
246,"Restored stone barn and pool to let, Dordogne - AD002609","Bedrooms 1, Sleeps 3, Ratings 21 9.5/10",£600 pw
247,"Stunning Rural Gite in Normandy, Orne - NO003444_A","Bedrooms 4, Sleeps 12, Ratings 3 9.8/10",£1064 to £1270 pw
248,Self catering holiday rental Limousin - UH003318,"Bedrooms 3, Sleeps 6, Ratings 1 8.3/10",£460 to £620 pw
249,"Mill house with pool to let, Deneze sous Doue - LL007716","Bedrooms 4, Sleeps 8",£900 to £1500 pw
250,Holiday gite with pool in rural Aquitaine - AT005586,"Bedrooms 1, Sleeps 2, Ratings 1 9.8/10",£375 pw
251,Gite for holiday rental shared pool nr Matha - PM002983_B,"Bedrooms 2, Sleeps 5",£400 to £905 pw
252,Holiday cottage nr coast and beaches Brittany - BM007369,"Bedrooms 3, Sleeps 6",£480 to £800 pw
253,Cottage to let in Brittany - BM004444_C,"Bedrooms 2, Sleeps 5",£395 to £495 pw
254,House in Var for holidays - CV005556,"Bedrooms 2, Sleeps 4, Ratings 3 8.9/10",£450 to £950 pw
255,Large family gite to let near Sarlat - AD006924,"Bedrooms 3, Sleeps 8",£550 pw
256,Holiday cottage with private lake in Brittany - BM004208,"Bedrooms 2, Sleeps 5, Ratings 8 10/10",£355 to £545 pw
257,Pretty Gite in Normandy for holiday rental - NM005657,"Bedrooms 2, Sleeps 4, Ratings 5 9.7/10",£650 to £900 pw
258,"Holiday gite with pool near Sarlat, Aquitaine - AD006724","Bedrooms 3, Sleeps 6",£700 to £1800 pw
259,"Light and airy gite to let, Brittany - BM005966","Bedrooms 1, Sleeps 4",£220 to £300 pw
260,"Holiday cottage, shared pool to let Pont-Aven - BF002047_A","Bedrooms 1, Sleeps 2, Ratings 11 9.8/10",£295 to £550 pw
261,Pretty gite for holiday let Vienne - PV003746,"Bedrooms 1, Sleeps 5",£650 to £700 pw
262,"Holiday rental gites, St Jean d'Angely 18km - PM002601_B","Bedrooms 8, Sleeps 18, Ratings 2 9.8/10",£525 to £1150 pw
263,"Large holiday gite with pool, rural Aquitaine - AT006034_A","Bedrooms 6, Sleeps 12, Ratings 1 10/10",£450 to £2100 pw
264,Spacious gite to let for holidays in Brittany - BN005430,"Bedrooms 4, Sleeps 9, Ratings 2 8.3/10",£730 to £1625 pw
265,"Lovely gite to let in quiet hamlet, Brittany - BN007437","Bedrooms 3, Sleeps 6",£450 to £600 pw
266,Converted barn cottage rural village Normandy - NC003371,"Bedrooms 7, Sleeps 14, Ratings 7 9.3/10",£1750 to £2950 pw
267,Self catering gite in rural Western Loire - LS003541,"Bedrooms 2, Sleeps 4, Ratings 1 10/10",£449 to £999 pw
268,Beautiful Brittany Farmhouse to let by a Lake - BN003616,"Bedrooms 4, Sleeps 8",£1120 pw
269,A Holiday Gite for rent in Brittany - BN001327_A,"Bedrooms 1, Sleeps 4",£170 pw
270,Holiday cottage with heated pool in Brittany - BM003435,"Bedrooms 3, Sleeps 6, Ratings 3 9.6/10",£880 pw
271,Cottage for holiday rental Charente Maritime - PM003292_A,"Bedrooms 2, Sleeps 4",£500 to £750 pw
272,Village holiday gite in rural Dordogne - AD006516,"Bedrooms 4, Sleeps 7",£700 to £1050 pw
273,Beautiful Country Home near La Roche-Bernard - BM003420,"Bedrooms 2, Sleeps 5, Ratings 3 8.8/10",£325 to £525 pw
274,Lovely converted barn to let in Charente - PC006886,"Bedrooms 3, Sleeps 6",£450 to £595 pw
275,Pretty gite for holiday let Vienne - PV003746,"Bedrooms 1, Sleeps 5",£650 to £700 pw
276,Holiday cottage to rent in Brittany - BM002070_A,"Bedrooms 4, Sleeps 8",£495 to £1150 pw
277,"Large holiday farmhouse with pool, Aquitaine - AD003584","Bedrooms 3, Sleeps 6, Ratings 1 9.2/10",£695 to £750 pw
278,"House to let on fishing lake, in Charente - PC007115","Bedrooms 3, Sleeps 6, Ratings 2 10/10",£1900 to £3000 pw
279,"Pretty Gite to let with pool & hot tub, Vidou - MH007286","Bedrooms 2, Sleeps 5",£490 to £750 pw
280,Stylish 4* gite with pool in Lot et Garonne - AL006966,"Bedrooms 1, Sleeps 3, Ratings 2 10/10",£675 pw
281,Holiday gite set in Dordogne Vineyard - AD006949,"Bedrooms 2, Sleeps 4, Ratings 3 9.9/10",£340 to £560 pw
282,Self catering gite Loire Valley - VI003422_A,"Bedrooms 4, Sleeps 8",£450 to £1540 pw
283,Luxury holiday gite with pool in Aquitaine - AT006134,"Bedrooms 2, Sleeps 5, Ratings 1 10/10",£700 to £900 pw
284,"Holiday gite, shared pool, views, Ploerdut - BM001005_A","Bedrooms 2, Sleeps 5",£560 pw
285,Restored Gite to let with pool nr Saumur - LL006245,"Bedrooms 2, Sleeps 4",£620 to £730 pw
286,Holiday gite in Limousin - UH005789,"Bedrooms 1, Sleeps 2",£483 to £574 pw
287,Holiday Gite in Manor estate holiday complexe - NM004600,"Bedrooms 3, Sleeps 6",£1073 pw
288,"4 Bed barn to let, close to Sarlat, Dordogne - AD003614","Bedrooms 4, Sleeps 8, Ratings 2 10/10",£695 to £1250 pw
289,Holiday gite to rent nr Benodet 6km - BF000361_C,"Bedrooms 3, Sleeps 5, Ratings 1 8.2/10",£385 to £600 pw
290,Holiday gite & shared pool to let in Brittany - BN002919_D,"Bedrooms 11, Sleeps 24, Ratings 2 9.3/10",€515 to €1600 pw
291,Lovely holiday let with a pool in Macqueville - PM007707,"Bedrooms 6, Sleeps 12",£700 to £2800 pw
292,Lovely gite to let with a pool in Auvergne - OP007670,"Bedrooms 4, Sleeps 12",£1925 pw
293,Holiday gite in Normandy near St Mere Eglise - NM006333,"Bedrooms 3, Sleeps 7, Ratings 2 10/10",£525 to £690 pw
294,"Holiday Gite to let in Angles, Vendee coast - LV006260","Bedrooms 2, Sleeps 5",£425 to £695 pw
295,"Holiday complex, pool and bar near Lamballe - BN002848_J","Bedrooms 2, Sleeps 4",€800 pw
296,Holiday gite for rent in Brittany - BN001327_B,"Bedrooms 3, Sleeps 11",£170 to £330 pw
297,"Holiday house to let for 6, Siran Languedoc - RH007552","Bedrooms 3, Sleeps 6",£700 to £850 pw
298,Gite for family holiday in Charente Maritime - PM005727,"Bedrooms 3, Sleeps 6, Ratings 1 9.7/10",£350 to £1000 pw
299,Breton holiday home to rent near Guingamp - BN002331,"Bedrooms 3, Sleeps 6, Ratings 5 9.8/10",£425 to £595 pw
300,Charming cottage to let in Cotes d'Armor - BN007672,"Bedrooms 2, Sleeps 4, Ratings 24 9.8/10",£380 to £650 pw
301,"Holiday gite in manor grounds, Brittany - BI007433","Bedrooms 1, Sleeps 2",£630 pw
302,Holiday cottage with pool near Condom - MG005502,"Bedrooms 4, Sleeps 6, Ratings 5 9.3/10",£750 pw
303,Charming couples gite to let in Vienne - PV006319,"Bedrooms 1, Sleeps 2, Ratings 1 10/10",£400 pw
304,"Cottage to let with pool and views, Aquitaine - AP007392","Bedrooms 2, Sleeps 4",£385 to £980 pw
305,Three gites for holiday rental in Souvigne - PS001609_C,"Bedrooms 2, Sleeps 4",£315 pw
306,Gite to rent for Vienne holiday Montmorillon - PV002079_B,"Bedrooms 3, Sleeps 6",£300 to £400 pw
307,Holiday apartment in scenic Normandy - NM007518,"Bedrooms 3, Sleeps 6",£500 to £600 pw
308,Charming holiday let nr St Jean-d'Angély - PM000026,"Bedrooms 1, Sleeps 3, Ratings 1 8.3/10",£220 to £335 pw
309,Self catering holiday rental Limousin - UH003318,"Bedrooms 3, Sleeps 6, Ratings 1 8.3/10",£460 to £620 pw
310,Gite with pool to let in rural Dordogne - AD005979,"Bedrooms 3, Sleeps 8",£665 to £1115 pw
311,"Holiday gite for let in Baud, Brittany - BM005177_B","Bedrooms 2, Sleeps 4, Ratings 10 9.8/10",£400 to £800 pw
312,Holiday gite with large garden in Brittany - BN004377,"Bedrooms 7, Sleeps 16, Ratings 2 9.3/10",£995 pw
313,A Holiday Gite for rent in Brittany - BN001327_A,"Bedrooms 1, Sleeps 4",£170 pw
314,Holiday country house in Gascony - MG006981,"Bedrooms 3, Sleeps 7",£603 pw
315,Luxury holiday homes in the Loire valley - VI005917,"Bedrooms 6, Sleeps 14",£2896 to £4000 pw
316,Holiday gite with pool in Brittany - BM007324,"Bedrooms 4, Sleeps 6, Ratings 4 10/10",€700 to €950 pw
317,Holiday let for 2 with private pool near Albi - MT005543,"Bedrooms 1, Sleeps 2, Ratings 1 9.8/10",£379 to £590 pw
318,Cottage with fishing lake to let in Limousin - UH004671,"Bedrooms 2, Sleeps 6, Ratings 3 9.8/10",£475 to £675 pw
319,"Holiday gite with shared pool, Aquitaine - AD007265","Bedrooms 2, Sleeps 5",£650 to £985 pw
320,Rural holiday gite for rental Western Loire - LS005851,"Bedrooms 4, Sleeps 7",£910 pw
321,Holiday cottage and swimming pool in Dordogne - AD004294,"Bedrooms 5, Sleeps 13",£1100 pw
322,River view holiday home/pool to rent Josselin - BM002230,"Bedrooms 4, Sleeps 10, Ratings 4 9.5/10",£490 pw
323,"Large gite & private pool to let, Aquitaine - AT007679","Bedrooms 6, Sleeps 14",£2060 pw
324,Holiday gite for 2 in Limousin - UH005382,"Bedrooms 1, Sleeps 2",£500 to £700 pw
325,Renovated house & pool to let in Loire Valley - VI005891_B,"Bedrooms 2, Sleeps 5",£890 to £970 pw
326,Holiday gite to let in manor grounds nr Najac - MN006900,"Bedrooms 4, Sleeps 8",£1100 to £1250 pw
327,Holiday gite in Limousin - UH005682,"Bedrooms 3, Sleeps 8, Ratings 1 10/10",£640 pw
328,"Gite for couples to let, Midi Pyrenees - MH004549","Bedrooms 1, Sleeps 2, Ratings 6 10/10",£385 to £525 pw
329,Luxurious farmhouse & pool to let in Dordogne - AD007634,"Bedrooms 5, Sleeps 10",£2450 to £6000 pw
330,"Gite & pool to let, rural Aquitaine, Dordogne - AD005006","Bedrooms 2, Sleeps 5",£425 to £555 pw
331,Lovely cottage to let near beach in Brittany - BF005685,"Bedrooms 3, Sleeps 7, Ratings 7 9.7/10",£695 to £995 pw
332,18th century farmhouse to let in Deux Sevres - PS006183,"Bedrooms 4, Sleeps 9, Ratings 1 9.7/10",£1480 to £1855 pw
333,Stunning barn conversion to let in Charente - PC006609,"Bedrooms 1, Sleeps 2, Ratings 1 9.8/10",£450 to £630 pw
334,Converted barn with private heated pool - PC003567,"Bedrooms 5, Sleeps 10, Ratings 4 9.1/10",£1180 to £2435 pw
335,Luxury holiday barn rental in Normandy - NM004626,"Bedrooms 2, Sleeps 4, Ratings 1 10/10",£625 to £650 pw
336,"Farmhouse to let with private pool, Dordogne - AD007676","Bedrooms 4, Sleeps 9",£1610 pw
337,Family Gite and shared pool near Riberac - PC004846_B,"Bedrooms 5, Sleeps 8",£710 pw
338,Gite for holiday rental in Limousin - US004410,"Bedrooms 2, Sleeps 3",£335 pw
339,Cosy rural Normandy cottage ideal for couples - NO005355,"Bedrooms 1, Sleeps 2",£650 pw
340,"Holiday Gites, pool, Brittany/Normandy border - BI006216","Bedrooms 6, Sleeps 15",£999 pw
341,Gite rental with pool in Aquitaine - AD004061,"Bedrooms 3, Sleeps 7, Ratings 3 10/10",£450 to £775 pw
342,Beautiful gite to let with a pool in Lomousin - UH007659,"Bedrooms 4, Sleeps 8",£1200 pw
343,Holiday house near landing beaches Normandy - NC006695,"Bedrooms 3, Sleeps 6, Ratings 1 9.3/10",£700 pw
344,Former farm cottage and shared pool Riberac - PC004846_D,"Bedrooms 3, Sleeps 4, Ratings 3 9.2/10",£450 pw
345,Luxury self catering gites rural nr Pontrieux - BN003129_C,"Bedrooms 6, Sleeps 12",£396 to £1098 pw
346,Holiday gite with pool in rural Dordogne - AD006839,"Bedrooms 1, Sleeps 2",£595 pw
347,Holiday let with shared pool near Poitiers - PV005063,"Bedrooms 3, Sleeps 6, Ratings 1 8.8/10",£644 to £805 pw
348,Holiday cottage in rural Aquitaine with pool - AD005074,"Bedrooms 3, Sleeps 6, Ratings 1 9.7/10",£1250 pw
349,Holiday cottage with pool in rural Dordogne - AD006824,"Bedrooms 2, Sleeps 4, Ratings 2 10/10",£500 pw
350,"Luxury farmhouse and pool to let, nr St James - BI003869","Bedrooms 4, Sleeps 12, Ratings 6 10/10",£995 to £1295 pw
351,"Robins Nest, Gite with Pool, Deux Sevres - PS002904_C","Bedrooms 1, Sleeps 4",£550 to £655 pw
352,Rural holiday Cottage to let Western Loire - LS005850,"Bedrooms 3, Sleeps 6",£770 pw
353,Holiday gite near Allonnes - LL004475,"Bedrooms 1, Sleeps 3",£350 pw
354,"Holiday gite, shared pool, Ploerdut, Brittany - BM007121_C","Bedrooms 3, Sleeps 6",£420 to £890 pw
355,Rural holiday let in tranquil Normandy - NM004635,"Bedrooms 2, Sleeps 6, Ratings 1 10/10",£360 to £540 pw
356,"Large house to let in heart of Cajarc, Lot - ML007352","Bedrooms 4, Sleeps 8",£875 pw
357,"Converted Barn for holiday lets, Loire Valley - VE006744_B","Bedrooms 4, Sleeps 8, Ratings 1 10/10",£800 to £1500 pw
358,Holiday cottage for 4 in rural Normandy - NM005381,"Bedrooms 2, Sleeps 4, Ratings 3 10/10",£475 to £795 pw
359,Holiday farmhouse to let near Tarbes - MH006141,"Bedrooms 5, Sleeps 10, Ratings 1 10/10",£2000 pw
360,Holiday cottage in Brittany - BN006745,"Bedrooms 2, Sleeps 4",£250 to £425 pw
361,Spacious holiday cottage near Limoges - UH006665,"Bedrooms 3, Sleeps 6, Ratings 1 10/10",£500 to £650 pw
362,"Watchtower & cottage to let, Midi Pyrenees - MN007726","Bedrooms 4, Sleeps 8",£700 to £1400 pw
363,"Holiday Gites, pool, Brittany/Normandy border - BI006216","Bedrooms 6, Sleeps 15",£999 pw
364,Holiday cottages/apartments to let nr Benodet - BF000236_J,"Bedrooms 3, Sleeps 5",€590 pw
365,Large holiday farmhouses with pool nr Le Lude - LS005060,"Bedrooms 8, Sleeps 18, Ratings 10 9.5/10",£1600 to £3540 pw
366,"Holiday house with shared pool, Soreze 3km - MT002148_A","Bedrooms 2, Sleeps 4",£580 pw
367,"Holiday cottage, beach 650m, South Brittany - BF003723","Bedrooms 3, Sleeps 6",£320 to £750 pw
368,Character holiday with pool to let in the Lot - ML006800,"Bedrooms 2, Sleeps 4, Ratings 1 10/10",£450 to £800 pw
369,"Holiday Gite for 3, to let in rural Vendee - LV006478","Bedrooms 2, Sleeps 3, Ratings 1 9.3/10",£465 to £850 pw
370,Holiday gite in Limousin - UH005789,"Bedrooms 1, Sleeps 2",£483 to £574 pw
371,"Stone cottage to let, views & pool, Aquitaine - AD007476_B","Bedrooms 2, Sleeps 4, Ratings 1 10/10",£530 to £650 pw
372,Holiday farmhouse near Fontenelle and Antrain - BI004479,"Bedrooms 2, Sleeps 4",£545 pw
373,Lovely cottage to let with pool in Dordogne - AD007594,"Bedrooms 3, Sleeps 6",£1675 pw
374,"Holiday gite with pool to let, rural Dordogne - AD005376","Bedrooms 6, Sleeps 12",£1080 to £3400 pw
375,Gite in the Aude Valley for holiday let - RA005203,"Bedrooms 1, Sleeps 2",£585 pw
376,Holiday farmhouse to let in rural Normandie - NM004609,"Bedrooms 4, Sleeps 7",£550 pw
377,Holiday cottage with pool in rural Dordogne - AD006824,"Bedrooms 2, Sleeps 4, Ratings 2 10/10",£500 pw
378,"Village house with pool to let, near Bergerac - AD002206","Bedrooms 4, Sleeps 8, Ratings 9 9.5/10",£695 to £1355 pw
379,Beautiful gite to let with a pool in Vienne - PV007677_A,"Bedrooms 6, Sleeps 12",£450 to £975 pw
380,Beautiful beamed gite to let in Charente - PC006587,"Bedrooms 3, Sleeps 6",£660 to £1130 pw
381,Rural Gite with pool to let in Mayenne region - LM005749,"Bedrooms 2, Sleeps 6",£475 to £790 pw
382,Lovely long house to let in Brittany - BM007091,"Bedrooms 3, Sleeps 7, Ratings 1 8.5/10",£500 pw
383,"Lovely Holiday Gite in Berneuil, Charente - PC007205","Bedrooms 2, Sleeps 4, Ratings 2 10/10",£650 to £1050 pw
384,"Farmhouse let, private pool, South Vendée - LV003818","Bedrooms 3, Sleeps 6, Ratings 8 9.8/10",£1650 pw
385,Holiday Farmhouse nr Aubeterre sur Drone - PC007461,"Bedrooms 3, Sleeps 8",£900 to £1200 pw
386,"Holiday cottage in peaceful setting, Brittany - BN007283","Bedrooms 3, Sleeps 6",£680 pw
387,Holiday cottage to let near the Vendee coast - LV006429,"Bedrooms 3, Sleeps 6, Ratings 7 10/10",£400 to £895 pw
388,Restored Water Mill to let in Deux Sevres - PS005964,"Bedrooms 3, Sleeps 6, Ratings 2 10/10",£495 to £1395 pw
389,Self catering cottage in Poitou Charentes - PC003557,"Bedrooms 2, Sleeps 4, Ratings 24 10/10",£750 to £1000 pw
390,Holiday gite for rental in Brittany - BN000450_A,"Bedrooms 8, Sleeps 15",£260 to £590 pw
391,Holiday gite with pool on the Tarn border - MV005828,"Bedrooms 2, Sleeps 5, Ratings 9 9.9/10",£455 to £855 pw
392,Gite complex in Lussais village with pool - PS004520_B,"Bedrooms 3, Sleeps 8, Ratings 3 9.6/10",£465 to £1350 pw
393,Holiday apartment in scenic Normandy - NM007518,"Bedrooms 3, Sleeps 6",£500 to £600 pw
394,"Large gite to let with pool, Aquitaine - AD007180","Bedrooms 3, Sleeps 6",£1295 to £1600 pw
395,"Stone holiday cottage, St Nicolas des Eaux - BM004473","Bedrooms 2, Sleeps 4, Ratings 1 10/10",£420 to £693 pw
396,"Holiday Cottage, private pool, in Deux Sevres - PS005881","Bedrooms 3, Sleeps 7, Ratings 6 9.5/10",£875 to £1795 pw
397,Gite for holiday rental shared pool nr Matha - PM002983_A,"Bedrooms 3, Sleeps 8, Ratings 1 10/10",£570 to £1100 pw
398,Holiday gite for 6 to let in rural Normandy - NM006848,"Bedrooms 3, Sleeps 6, Ratings 9 10/10",£650 pw
399,Charming gite & private pool to let in Cazals - ML007739,"Bedrooms 2, Sleeps 4",£1495 pw
400,"Stone cottage to let, countryside, Brittany - BM002713","Bedrooms 3, Sleeps 6, Ratings 19 9.4/10",£420 pw
401,Large Holiday Gite for 8 & pool near Surgeres - PS007270,"Bedrooms 4, Sleeps 8",£800 to £1250 pw
402,Holiday let in rural Loire Valley - VI005100_C,"Bedrooms 1, Sleeps 2",£395 to £595 pw
403,Family gite accommodation nr St Jean-d'Angély - PM002197_D,"Bedrooms 3, Sleeps 6",£445 to £975 pw
404,Holiday gite near Dinan - BN004617,"Bedrooms 2, Sleeps 4, Ratings 8 10/10",£400 to £460 pw
405,Riverside gite for relaxing holiday in Vienne - PV005246,"Bedrooms 3, Sleeps 7, Ratings 3 9.8/10",£614 to £996 pw
406,"Holiday gite complex, shared pool, Brittany - BN006697_B","Bedrooms 3, Sleeps 5",£485 to £550 pw
407,"Large converted barn to let, pool, Aquitaine - AD007614","Bedrooms 4, Sleeps 10",£1500 to £1800 pw
408,"Farmhouse to rent in Brittany, beach 1km - BF003826","Bedrooms 5, Sleeps 14, Ratings 2 9.8/10",£800 to £1200 pw
409,"Converted barn to let with pool, rural Vendée - LV005137","Bedrooms 3, Sleeps 6",£450 to £1050 pw
410,"Holiday home & heated pool, nr Canal du Midi - RH006856","Bedrooms 3, Sleeps 6",£675 to £875 pw
411,"Luxury holiday gite, private pool, Aquitaine - AT005603","Bedrooms 2, Sleeps 5, Ratings 3 9.9/10",£500 to £1550 pw
412,"Large holiday farmhouse to rent, near Saumur - LL004359","Bedrooms 4, Sleeps 10",£850 pw
413,"Riverside luxury gites with pool, Dordogne - AD004591","Bedrooms 3, Sleeps 6, Ratings 1 10/10",£880 to £1700 pw
414,Spacious barn to let in Aquitaine village - AD004570,"Bedrooms 2, Sleeps 4, Ratings 1 10/10",£375 to £400 pw
415,Cosy gite in a hamlet in Poitou Charentes - PS005092,"Bedrooms 2, Sleeps 5, Ratings 5 9.7/10",£300 to £680 pw
416,Holiday cottage in Brittany - BM007510,"Bedrooms 2, Sleeps 5",£510 to £584 pw
417,"Holiday cottage, shared pool, wi-fi, Brittany - BN000920_C","Bedrooms 5, Sleeps 13, Ratings 2 9.8/10",£1300 to £2150 pw
418,Character gite for holiday let Lot et Garonne - AT003736,"Bedrooms 2, Sleeps 5, Ratings 1 10/10",£380 to £595 pw
419,Lovely gite on working smallholding in Vienne - PV006901,"Bedrooms 1, Sleeps 2",£455 pw
420,Gite for rental in Western Loire - LS004062,"Bedrooms 1, Sleeps 4",£595 pw
421,"Holiday Cottage to let with pool, Mayenne - LM006760_A","Bedrooms 7, Sleeps 15, Ratings 1 10/10",€490 to €630 pw
422,Rural holiday gite for rental Western Loire - LS005851,"Bedrooms 4, Sleeps 7",£910 pw
423,Luxury self catering gites rural nr Pontrieux - BN003129_A,"Bedrooms 2, Sleeps 4, Ratings 3 9.8/10",£528 to £957 pw
424,Cottage for holiday let Charente Maritime - PM003454,"Bedrooms 3, Sleeps 6, Ratings 1 6.3/10",£856 to £926 pw
425,"Holiday farmhouse, private pool, Dordogne - AD007696","Bedrooms 3, Sleeps 8",£700 to £1300 pw
426,"Holiday cottage in Brittany, beaches 30 mins - BM003914","Bedrooms 2, Sleeps 8, Ratings 2 9.8/10",£525 to £595 pw
427,Luxury gite with 3 fishing lakes in Mayenne - LM004583,"Bedrooms 3, Sleeps 6, Ratings 10 10/10",£839 to £1289 pw
428,Holiday cottage in rural Aquitaine with pool - AD005074,"Bedrooms 3, Sleeps 6, Ratings 1 9.7/10",£1250 pw
429,Holiday cottage with pool in Western Loire - LV006634_B,"Bedrooms 2, Sleeps 4, Ratings 2 10/10",£504 to £1183 pw
430,Family friendly cottage to let in Charente - PC005362,"Bedrooms 2, Sleeps 5, Ratings 2 9.8/10",£900 pw
431,Luxury holiday let near St Sauveur le Vicomt - NM001949_B,"Bedrooms 1, Sleeps 2",€500 to €550 pw
432,Holiday gite for 6 with pool near Riberac - AD006496_B,"Bedrooms 3, Sleeps 6",£600 to £950 pw
433,Self catering gite in rural Western Loire - LS003541,"Bedrooms 2, Sleeps 4, Ratings 1 10/10",£449 to £999 pw
434,Beautiful gite to let in Charente Maritime - PM006858,"Bedrooms 1, Sleeps 2, Ratings 3 10/10",£455 to £490 pw
435,Holiday cottage with pool in Brittany - BM005480,"Bedrooms 3, Sleeps 7, Ratings 5 9.6/10",£1050 to £2030 pw
436,"Family gite with pool, Charente Maritime - PM005793_B","Bedrooms 6, Sleeps 13, Ratings 2 8.8/10",£850 to £900 pw
437,Open plan loft to let for holidays in Mons - PC005659,"Bedrooms 2, Sleeps 2",£735 pw
438,Holiday cottage with pool in rural Dordogne - AD005266,"Bedrooms 3, Sleeps 6, Ratings 5 9.6/10",£580 pw
439,"Large house & pool to let, Chassenon Charente - PC007414","Bedrooms 4, Sleeps 10",£995 to £1999 pw
440,"Three bed holiday gite in Cantal, Auvergne - OC006039","Bedrooms 3, Sleeps 6, Ratings 1 10/10",£675 to £1500 pw
441,Holiday cottage with private pool in Brittany - BN007520,"Bedrooms 4, Sleeps 7",£550 to £700 pw
442,"Holiday cottage in Brittany, sea 35 mins - BN002685","Bedrooms 3, Sleeps 6, Ratings 2 9.8/10",£275 to £325 pw
443,Renovated gite for family holidays in Begard - BN004790,"Bedrooms 2, Sleeps 4",£525 to £945 pw
444,Stylish rural gite to let in Poitou Charentes - PM006368,"Bedrooms 2, Sleeps 4, Ratings 1 9/10",£1300 to £1600 pw
445,"Barn conversion & pool to let, Midi Pyrenees - MA007469","Bedrooms 3, Sleeps 6",£364 to £1685 pw
446,Holiday House to let in Les Rosiers nr Saumur - LL006626,"Bedrooms 3, Sleeps 6",£750 pw
447,Holiday cottage in Barneville-Carteret - NM003243,"Bedrooms 2, Sleeps 4, Ratings 11 9.4/10",£525 to £625 pw
448,Holiday rental gite close to Buais Normandy - NM001573,"Bedrooms 2, Sleeps 4, Ratings 1 10/10",£390 to £490 pw
449,"Holiday home rental near Saumur, Loire Valley - VI001447","Bedrooms 4, Sleeps 8, Ratings 1 9.5/10",£595 to £650 pw
450,Cottage for holiday rental Charente with pool - PC003112,"Bedrooms 1, Sleeps 2, Ratings 9 9.8/10",£330 to £400 pw
451,House & private pool to let in Dordogne - AD005220,"Bedrooms 3, Sleeps 6, Ratings 1 10/10",£1000 to £1800 pw
452,Cottage for holiday rental in Limousin - US004536,"Bedrooms 4, Sleeps 12, Ratings 3 9.8/10",£1925 pw
453,Lovely cottage to let in Normandy - NO007479,"Bedrooms 3, Sleeps 6",£750 pw
454,Apartment for holiday rental in Vienne - PV002955,"Bedrooms 1, Sleeps 4, Ratings 10 10/10",£495 to £649 pw
455,Holiday cottage to rent in Brittany - BM002070_A,"Bedrooms 4, Sleeps 8",£495 to £1150 pw
456,Holiday gite for 6 with pool near Riberac - AD006496_B,"Bedrooms 3, Sleeps 6",£600 to £950 pw
457,"Pretty holiday gite in Poitou Charente, pool - PC004496_A","Bedrooms 2, Sleeps 4, Ratings 5 10/10",£545 to £775 pw
458,Idylic Farmhouse in rural Cotes d'Armor - BN003483,"Bedrooms 3, Sleeps 6, Ratings 2 9.6/10",£450 pw
459,Spacious farmhouse to let in rural Aquitaine - AG006003,"Bedrooms 5, Sleeps 12, Ratings 4 9.5/10",£1575 to £2300 pw
460,"Rural gite to let for couples, pool, Dordogne - AD007746","Bedrooms 1, Sleeps 2",£625 to £849 pw
461,Beautifully renovated 2 bed gite nr Saintes - PM006215,"Bedrooms 2, Sleeps 4, Ratings 3 9.9/10",£500 to £650 pw
462,Gite to let near Normandy Landing Beaches - NM005747,"Bedrooms 3, Sleeps 6, Ratings 6 10/10",£525 to £885 pw
463,Cottage to let in beautiful Sarthe - LS007561,"Bedrooms 5, Sleeps 10",£1920 to £2160 pw
464,Rural holiday gite close to Vendee coastline - LV005965,"Bedrooms 3, Sleeps 8",£990 pw
